updateDate,code,code_name
2012-02-20,sh.600000,浦发银行
2012-02-20,sh.600005,武钢股份
2012-02-20,sh.600008,首创股份
2012-02-20,sh.600009,上海机场
2012-02-20,sh.600010,包钢股份
2012-02-20,sh.600015,华夏银行
2012-02-20,sh.600016,民生银行
2012-02-20,sh.600019,宝钢股份
2012-02-20,sh.600026,中远海能
2012-02-20,sh.600028,中国石化
2012-02-20,sh.600029,南方航空
2012-02-20,sh.600030,中信证券
2012-02-20,sh.600031,三一重工
2012-02-20,sh.600036,招商银行
2012-02-20,sh.600037,歌华有线
2012-02-20,sh.600048,保利地产
2012-02-20,sh.600050,中国联通
2012-02-20,sh.600058,五矿发展
2012-02-20,sh.600062,华润双鹤
2012-02-20,sh.600066,宇通客车
2012-02-20,sh.600068,葛洲坝
2012-02-20,sh.600085,同仁堂
2012-02-20,sh.600089,特变电工
2012-02-20,sh.600096,云天化
2012-02-20,sh.600098,广州发展
2012-02-20,sh.600100,同方股份
2012-02-20,sh.600104,上汽集团
2012-02-20,sh.600108,亚盛集团
2012-02-20,sh.600109,国金证券
2012-02-20,sh.600111,北方稀土
2012-02-20,sh.600115,东方航空
2012-02-20,sh.600118,中国卫星
2012-02-20,sh.600123,兰花科创
2012-02-20,sh.600125,铁龙物流
2012-02-20,sh.600132,重庆啤酒
2012-02-20,sh.600143,金发科技
2012-02-20,sh.600150,*ST船舶
2012-02-20,sh.600151,航天机电
2012-02-20,sh.600153,建发股份
2012-02-20,sh.600160,巨化股份
2012-02-20,sh.600161,天坛生物
2012-02-20,sh.600166,福田汽车
2012-02-20,sh.600169,太原重工
2012-02-20,sh.600170,上海建工
2012-02-20,sh.600177,雅戈尔
2012-02-20,sh.600183,生益科技
2012-02-20,sh.600188,兖州煤业
2012-02-20,sh.600196,复星医药
2012-02-20,sh.600208,新湖中宝
2012-02-20,sh.600216,浙江医药
2012-02-20,sh.600219,南山铝业
2012-02-20,sh.600221,海航控股
2012-02-20,sh.600252,中恒集团
2012-02-20,sh.600256,广汇能源
2012-02-20,sh.600259,广晟有色
2012-02-20,sh.600266,北京城建
2012-02-20,sh.600267,海正药业
2012-02-20,sh.600271,航天信息
2012-02-20,sh.600276,恒瑞医药
2012-02-20,sh.600307,酒钢宏兴
2012-02-20,sh.600309,万华化学
2012-02-20,sh.600316,洪都航空
2012-02-20,sh.600320,振华重工
2012-02-20,sh.600331,宏达股份
2012-02-20,sh.600348,阳泉煤业
2012-02-20,sh.600352,浙江龙盛
2012-02-20,sh.600362,江西铜业
2012-02-20,sh.600369,西南证券
2012-02-20,sh.600372,中航电子
2012-02-20,sh.600376,首开股份
2012-02-20,sh.600380,健康元
2012-02-20,sh.600383,金地集团
2012-02-20,sh.600395,盘江股份
2012-02-20,sh.600406,国电南瑞
2012-02-20,sh.600415,小商品城
2012-02-20,sh.600418,江淮汽车
2012-02-20,sh.600428,中远海特
2012-02-20,sh.600432,退市吉恩
2012-02-20,sh.600456,宝钛股份
2012-02-20,sh.600481,双良节能
2012-02-20,sh.600489,中金黄金
2012-02-20,sh.600497,驰宏锌锗
2012-02-20,sh.600498,烽火通信
2012-02-20,sh.600500,中化国际
2012-02-20,sh.600508,上海能源
2012-02-20,sh.600516,方大炭素
2012-02-20,sh.600518,康美药业
2012-02-20,sh.600519,贵州茅台
2012-02-20,sh.600528,中铁工业
2012-02-20,sh.600535,天士力
2012-02-20,sh.600546,山煤国际
2012-02-20,sh.600547,山东黄金
2012-02-20,sh.600549,厦门钨业
2012-02-20,sh.600550,保变电气
2012-02-20,sh.600582,天地科技
2012-02-20,sh.600583,海油工程
2012-02-20,sh.600585,海螺水泥
2012-02-20,sh.600588,用友网络
2012-02-20,sh.600595,中孚实业
2012-02-20,sh.600598,北大荒
2012-02-20,sh.600600,青岛啤酒
2012-02-20,sh.600635,大众公用
2012-02-20,sh.600642,申能股份
2012-02-20,sh.600649,城投控股
2012-02-20,sh.600655,豫园股份
2012-02-20,sh.600660,福耀玻璃
2012-02-20,sh.600664,哈药股份
2012-02-20,sh.600674,川投能源
2012-02-20,sh.600690,青岛海尔
2012-02-20,sh.600694,大商股份
2012-02-20,sh.600703,三安光电
2012-02-20,sh.600718,东软集团
2012-02-20,sh.600737,中粮糖业
2012-02-20,sh.600739,辽宁成大
2012-02-20,sh.600741,华域汽车
2012-02-20,sh.600770,综艺股份
2012-02-20,sh.600779,水井坊
2012-02-20,sh.600783,鲁信创投
2012-02-20,sh.600795,国电电力
2012-02-20,sh.600804,鹏博士
2012-02-20,sh.600808,马钢股份
2012-02-20,sh.600809,山西汾酒
2012-02-20,sh.600811,东方集团
2012-02-20,sh.600812,华北制药
2012-02-20,sh.600832,东方明珠
2012-02-20,sh.600837,海通证券
2012-02-20,sh.600839,四川长虹
2012-02-20,sh.600859,王府井
2012-02-20,sh.600863,内蒙华电
2012-02-20,sh.600873,梅花生物
2012-02-20,sh.600875,东方电气
2012-02-20,sh.600879,航天电子
2012-02-20,sh.600881,亚泰集团
2012-02-20,sh.600887,伊利股份
2012-02-20,sh.600893,航发动力
2012-02-20,sh.600895,张江高科
2012-02-20,sh.600900,长江电力
2012-02-20,sh.600970,中材国际
2012-02-20,sh.600971,恒源煤电
2012-02-20,sh.600997,开滦股份
2012-02-20,sh.600999,招商证券
2012-02-20,sh.601001,大同煤业
2012-02-20,sh.601006,大秦铁路
2012-02-20,sh.601009,南京银行
2012-02-20,sh.601018,宁波港
2012-02-20,sh.601088,中国神华
2012-02-20,sh.601098,中南传媒
2012-02-20,sh.601099,太平洋
2012-02-20,sh.601101,昊华能源
2012-02-20,sh.601106,中国一重
2012-02-20,sh.601111,中国国航
2012-02-20,sh.601117,中国化学
2012-02-20,sh.601118,海南橡胶
2012-02-20,sh.601158,重庆水务
2012-02-20,sh.601166,兴业银行
2012-02-20,sh.601168,西部矿业
2012-02-20,sh.601169,北京银行
2012-02-20,sh.601179,中国西电
2012-02-20,sh.601186,中国铁建
2012-02-20,sh.601216,君正集团
2012-02-20,sh.601233,桐昆股份
2012-02-20,sh.601258,庞大集团
2012-02-20,sh.601268,*ST二重
2012-02-20,sh.601288,农业银行
2012-02-20,sh.601299,中国北车
2012-02-20,sh.601318,中国平安
2012-02-20,sh.601328,交通银行
2012-02-20,sh.601333,广深铁路
2012-02-20,sh.601369,陕鼓动力
2012-02-20,sh.601377,兴业证券
2012-02-20,sh.601390,中国中铁
2012-02-20,sh.601398,工商银行
2012-02-20,sh.601519,大智慧
2012-02-20,sh.601558,ST锐电
2012-02-20,sh.601600,中国铝业
2012-02-20,sh.601601,中国太保
2012-02-20,sh.601607,上海医药
2012-02-20,sh.601618,中国中冶
2012-02-20,sh.601628,中国人寿
2012-02-20,sh.601666,平煤股份
2012-02-20,sh.601668,中国建筑
2012-02-20,sh.601688,华泰证券
2012-02-20,sh.601699,潞安环能
2012-02-20,sh.601717,郑煤机
2012-02-20,sh.601718,际华集团
