date,code,open,high,low,close,preclose,volume,amount,pctChg
2014-01-02,sh.000001,2112.1260,2113.1100,2101.0160,2109.3870,2115.9780,6848548608,61921354752.0000,-0.311490
2014-01-03,sh.000001,2101.5420,2102.1670,2075.8990,2083.1360,2109.3870,8449724160,72372228096.0000,-1.244484
2014-01-06,sh.000001,2078.6840,2078.6840,2034.0060,2045.7090,2083.1360,8958760704,72895393792.0000,-1.796666
2014-01-07,sh.000001,2034.2240,2052.2790,2029.2460,2047.3170,2045.7090,6340293888,54638641664.0000,0.078605
2014-01-08,sh.000001,2047.2560,2062.9520,2037.1100,2044.3400,2047.3170,7164736512,62941429760.0000,-0.145412
2014-01-09,sh.000001,2041.7730,2057.1960,2026.4460,2027.6220,2044.3400,7594188288,67605664000.0000,-0.817771
2014-01-10,sh.000001,2023.5350,2029.2970,2008.0070,2013.2980,2027.6220,7561612032,61044553216.0000,-0.706442
2014-01-13,sh.000001,2014.9780,2027.1810,2000.4040,2009.5640,2013.2980,6654477568,55616750592.0000,-0.185467
2014-01-14,sh.000001,2007.1560,2027.4280,2001.1350,2026.8420,2009.5640,7036661504,56687625216.0000,0.859792
2014-01-15,sh.000001,2024.2280,2027.4090,2010.2040,2023.3480,2026.8420,6743622144,57740358144.0000,-0.172387
2014-01-16,sh.000001,2022.5380,2034.7070,2014.4070,2023.7010,2023.3480,7275571968,62829760768.0000,0.017448
2014-01-17,sh.000001,2017.5220,2017.8680,2001.3300,2004.9490,2023.7010,6730572032,57039564032.0000,-0.926623
2014-01-20,sh.000001,2001.8940,2005.9380,1984.8240,1991.2530,2004.9490,5627124736,48298780928.0000,-0.683106
2014-01-21,sh.000001,1992.0150,2014.1520,1992.0150,2008.3130,1991.2530,5984491264,52017917440.0000,0.856744
2014-01-22,sh.000001,2009.9690,2052.3390,2008.9300,2051.7490,2008.3130,9889285632,84126658560.0000,2.162812
2014-01-23,sh.000001,2048.3310,2052.5280,2039.0520,2042.1800,2051.7490,8421058560,76083326976.0000,-0.466381
2014-01-24,sh.000001,2037.6670,2060.9860,2034.4530,2054.3920,2042.1800,9294792192,82346176512.0000,0.597990
2014-01-27,sh.000001,2044.2720,2044.8460,2029.6260,2033.3000,2054.3920,8881542656,81914220544.0000,-1.026680
2014-01-28,sh.000001,2036.4020,2047.1290,2026.9870,2038.5130,2033.3000,7252904192,65751604480.0000,0.256376
2014-01-29,sh.000001,2042.1760,2051.5830,2039.7710,2049.9140,2038.5130,7386546176,67694123520.0000,0.559286
2014-01-30,sh.000001,2045.9310,2045.9310,2031.4660,2033.0830,2049.9140,6261518336,58264498432.0000,-0.821061
2014-02-07,sh.000001,2022.3230,2044.7300,2014.6980,2044.4970,2033.0830,7359875584,67829921792.0000,0.561411
2014-02-10,sh.000001,2049.9840,2087.9750,2049.9840,2086.0670,2044.4970,12433183232,112722919424.0000,2.033260
2014-02-11,sh.000001,2086.1770,2111.0610,2082.5220,2103.6710,2086.0670,14221132288,125266776064.0000,0.843885
2014-02-12,sh.000001,2103.8280,2110.9040,2096.5090,2109.9550,2103.6710,12633318656,110804070400.0000,0.298725
2014-02-13,sh.000001,2106.9340,2122.8260,2096.9660,2098.4010,2109.9550,14653263360,124377063424.0000,-0.547604
2014-02-14,sh.000001,2097.3200,2116.1860,2095.0900,2115.8480,2098.4010,11151794944,97399672832.0000,0.831444
2014-02-17,sh.000001,2124.8800,2136.4470,2117.6890,2135.4150,2115.8480,14024444416,126213750784.0000,0.924789
2014-02-18,sh.000001,2134.1430,2134.1430,2113.1280,2119.0660,2135.4150,14286930944,129786966016.0000,-0.765618
2014-02-19,sh.000001,2116.9190,2152.9610,2111.1680,2142.5540,2119.0660,15126124544,127818452992.0000,1.108415
2014-02-20,sh.000001,2152.8910,2177.9780,2136.4810,2138.7820,2142.5540,15705227520,130938437632.0000,-0.176050
2014-02-21,sh.000001,2131.5920,2132.7030,2098.3280,2113.6930,2138.7820,11766265088,99514290176.0000,-1.173045
2014-02-24,sh.000001,2099.7170,2099.7170,2058.7910,2076.6860,2113.6930,12355530752,107202449408.0000,-1.750826
2014-02-25,sh.000001,2077.2850,2087.6160,2026.5430,2034.2190,2076.6860,14013297664,127823835136.0000,-2.044943
2014-02-26,sh.000001,2026.6100,2041.6270,2014.3810,2041.2540,2034.2190,11011268608,96117706752.0000,0.345835
2014-02-27,sh.000001,2045.0960,2068.3140,2036.3910,2047.3540,2041.2540,13216385280,112875753472.0000,0.298835
2014-02-28,sh.000001,2040.6240,2058.4890,2020.9350,2056.3020,2047.3540,11163790592,95684071424.0000,0.437052
2014-03-03,sh.000001,2052.0750,2078.3330,2047.0670,2075.2350,2056.3020,12746089216,104980598784.0000,0.920736
2014-03-04,sh.000001,2068.1070,2074.0250,2050.1250,2071.4730,2075.2350,11592579072,101116309504.0000,-0.181291
2014-03-05,sh.000001,2073.2950,2074.8150,2050.1750,2053.0840,2071.4730,10773308160,91623333888.0000,-0.887722
2014-03-06,sh.000001,2050.0320,2065.7900,2030.9460,2059.5780,2053.0840,10929013248,92561444864.0000,0.316300
2014-03-07,sh.000001,2058.3750,2079.4900,2050.4700,2057.9080,2059.5780,10370953984,89332133888.0000,-0.081081
2014-03-10,sh.000001,2042.3520,2042.6340,1995.5490,1999.0650,2057.9080,11569666560,95032991744.0000,-2.859361
2014-03-11,sh.000001,1994.4150,2008.0710,1985.5990,2001.1570,1999.0650,9270526464,76870328320.0000,0.104651
2014-03-12,sh.000001,1996.2390,2011.0600,1974.3820,1997.6920,2001.1570,10136172032,79293071360.0000,-0.173148
2014-03-13,sh.000001,2000.6950,2029.1200,1996.5290,2019.1110,1997.6920,10097811712,77979058176.0000,1.072185
2014-03-14,sh.000001,2008.8250,2017.9130,1990.9800,2004.3390,2019.1110,8777511168,69925888000.0000,-0.731608
2014-03-17,sh.000001,2009.8820,2024.3720,1999.2490,2023.6730,2004.3390,8625037312,72017780736.0000,0.964607
2014-03-18,sh.000001,2026.2240,2034.9170,2020.4100,2025.1960,2023.6730,9677719296,83580456960.0000,0.075263
2014-03-19,sh.000001,2019.9800,2022.1810,2002.4410,2021.7340,2025.1960,9518079744,79473242112.0000,-0.170948
2014-03-20,sh.000001,2017.2200,2030.8470,1993.0020,1993.4790,2021.7340,11033304832,88630976512.0000,-1.397563
2014-03-21,sh.000001,1987.6790,2052.4720,1986.0710,2047.6190,1993.4790,14447765504,109438066688.0000,2.715856
2014-03-24,sh.000001,2050.8270,2074.0560,2043.3300,2066.2790,2047.6190,14770008576,110244495360.0000,0.911304
2014-03-25,sh.000001,2063.3230,2079.5510,2057.4910,2067.3110,2066.2790,13182223104,100173660160.0000,0.049944
2014-03-26,sh.000001,2070.5740,2074.5720,2057.6480,2063.6700,2067.3110,10261111552,80463446016.0000,-0.176128
2014-03-27,sh.000001,2060.8120,2073.9820,2042.7130,2046.5880,2063.6700,11914937344,94996459520.0000,-0.827744
2014-03-28,sh.000001,2046.8510,2060.1340,2035.2430,2041.7120,2046.5880,12168196352,94221959168.0000,-0.238249
2014-03-31,sh.000001,2043.0450,2048.1340,2024.1850,2033.3060,2041.7120,9435653632,71573688320.0000,-0.411714
2014-04-01,sh.000001,2031.0050,2050.6810,2028.0960,2047.4600,2033.3060,8328657664,64512636928.0000,0.696104
2014-04-02,sh.000001,2049.4230,2060.7780,2046.7420,2058.9880,2047.4600,10265852672,77940637696.0000,0.563043
2014-04-03,sh.000001,2063.4970,2066.0070,2037.4470,2043.7020,2058.9880,10861842176,79480901632.0000,-0.742404
2014-04-04,sh.000001,2037.5520,2060.1040,2035.2210,2058.8310,2043.7020,8318905600,66368648192.0000,0.740276
2014-04-08,sh.000001,2054.5300,2102.4520,2052.9000,2098.2840,2058.8310,13337098240,107966361600.0000,1.916276
2014-04-09,sh.000001,2100.6510,2108.7500,2095.6400,2105.2370,2098.2840,10534046976,87366774784.0000,0.331372
2014-04-10,sh.000001,2105.8760,2146.6700,2098.0790,2134.3000,2105.2370,15678960896,129842348032.0000,1.380509
2014-04-11,sh.000001,2130.3680,2138.6510,2120.1790,2130.5420,2134.3000,13176835840,111636811776.0000,-0.176079
2014-04-14,sh.000001,2127.4090,2134.4340,2116.6100,2131.5390,2130.5420,10207785216,86591713280.0000,0.046799
2014-04-15,sh.000001,2125.9020,2125.9020,2098.1500,2101.6010,2131.5390,10753115136,91135361024.0000,-1.404524
2014-04-16,sh.000001,2097.2130,2112.0500,2092.1570,2105.1220,2101.6010,8936165632,75099475968.0000,0.167539
2014-04-17,sh.000001,2108.9470,2110.7160,2095.7140,2098.8850,2105.1220,8989632512,74257035264.0000,-0.296280
2014-04-18,sh.000001,2091.4800,2099.6370,2081.1850,2097.7480,2098.8850,8815569408,72555982848.0000,-0.054170
2014-04-21,sh.000001,2085.9800,2103.0780,2065.2340,2065.8260,2097.7480,9637837056,81654550528.0000,-1.521733
2014-04-22,sh.000001,2062.7870,2073.6630,2047.3320,2072.8310,2065.8260,9871988224,82468106240.0000,0.339096
2014-04-23,sh.000001,2068.0840,2076.3490,2059.1090,2067.3820,2072.8310,7853152000,66156169472.0000,-0.262876
2014-04-24,sh.000001,2064.1560,2075.7570,2056.1930,2057.0330,2067.3820,7818595584,64407532288.0000,-0.500591
2014-04-25,sh.000001,2060.5380,2065.6430,2035.5660,2036.5190,2057.0330,9304233216,74155876352.0000,-0.997258
2014-04-28,sh.000001,2033.3370,2035.9900,2000.1370,2003.4870,2036.5190,8979526144,68541492480.0000,-1.621982
2014-04-29,sh.000001,2001.8960,2021.6800,1997.6400,2020.3410,2003.4870,7622127616,56776481024.0000,0.841227
2014-04-30,sh.000001,2020.4380,2029.5380,2016.5770,2026.3580,2020.3410,7452857856,57677358080.0000,0.297826
2014-05-05,sh.000001,2022.1780,2028.9570,2007.3510,2027.3530,2026.3580,7993339648,60093487872.0000,0.049103
2014-05-06,sh.000001,2024.2560,2038.7050,2021.4850,2028.0380,2027.3530,7460941056,57548110848.0000,0.033785
2014-05-07,sh.000001,2023.1520,2024.6310,2008.4510,2010.0830,2028.0380,7436019200,57558051840.0000,-0.885336
2014-05-08,sh.000001,2006.8530,2036.9410,2005.6850,2015.2740,2010.0830,7786539264,59529365504.0000,0.258250
2014-05-09,sh.000001,2016.5010,2020.4540,2001.3000,2011.1350,2015.2740,7622424320,57505383680.0000,-0.205383
2014-05-12,sh.000001,2022.9320,2055.5060,2016.6380,2052.8710,2011.1350,11574207744,88097001472.0000,2.075250
2014-05-13,sh.000001,2055.0790,2061.0600,2043.5470,2050.7280,2052.8710,9722338800,73741718051.0000,-0.104394
2014-05-14,sh.000001,2049.2700,2056.5740,2042.7440,2047.9100,2050.7280,7201112576,56455292416.0000,-0.137414
2014-05-15,sh.000001,2044.3770,2047.3160,2022.8610,2024.9740,2047.9100,7584515328,59773445376.0000,-1.119973
2014-05-16,sh.000001,2023.5960,2027.7560,2012.6940,2026.5040,2024.9740,6635366000,51625885302.0000,0.075558
2014-05-19,sh.000001,2023.0140,2023.2670,1996.0150,2005.1830,2026.5040,6532943872,52975245824.0000,-1.052110
2014-05-20,sh.000001,2011.8460,2018.1560,2002.7590,2008.1190,2005.1830,6134538240,49549015040.0000,0.146422
2014-05-21,sh.000001,2001.3060,2025.1940,1991.0550,2024.9510,2008.1190,6181154700,48415094175.0000,0.838199
2014-05-22,sh.000001,2023.1480,2041.9600,2018.8770,2021.2850,2024.9510,7472847400,59501663401.0000,-0.181042
2014-05-23,sh.000001,2020.1150,2034.5690,2017.7390,2034.5690,2021.2850,6348806400,51464940032.0000,0.657203
2014-05-26,sh.000001,2042.0280,2045.3810,2035.0940,2041.4760,2034.5690,7028121856,59840433408.0000,0.339481
2014-05-27,sh.000001,2039.7910,2044.1480,2032.8390,2034.5650,2041.4760,6757788928,55920518656.0000,-0.338530
2014-05-28,sh.000001,2034.5610,2052.6560,2029.3360,2050.2280,2034.5650,8133864192,68602224896.0000,0.769849
2014-05-29,sh.000001,2051.8400,2057.0770,2039.2380,2040.5950,2050.2280,8124292096,69472514048.0000,-0.469853
2014-05-30,sh.000001,2040.3940,2046.9600,2031.3730,2039.2120,2040.5950,7514889728,62353642496.0000,-0.067771
2014-06-03,sh.000001,2039.1960,2049.5760,2037.3000,2038.3050,2039.2120,7158412288,59296436992.0000,-0.044477
2014-06-04,sh.000001,2037.9890,2038.4810,2012.9130,2024.8340,2038.3050,7241277184,57467546368.0000,-0.660896
2014-06-05,sh.000001,2019.4420,2041.7010,2016.1750,2040.8780,2024.8340,6794953728,56376142080.0000,0.792365
2014-06-06,sh.000001,2040.8640,2041.5730,2022.1580,2029.9560,2040.8780,6602174464,55124242432.0000,-0.535162
2014-06-09,sh.000001,2024.9420,2045.2550,2023.1980,2030.5020,2029.9560,6478831616,55139842304.0000,0.026892
2014-06-10,sh.000001,2033.2070,2052.7650,2026.3890,2052.5320,2030.5020,7962371840,65406104832.0000,1.084955
2014-06-11,sh.000001,2049.1280,2056.6310,2045.4070,2054.9480,2052.5320,7444435456,63177390336.0000,0.117709
2014-06-12,sh.000001,2051.5820,2057.1050,2045.9620,2051.7130,2054.9480,8171118592,69306421248.0000,-0.157430
2014-06-13,sh.000001,2049.2060,2073.5960,2048.6180,2070.7150,2051.7130,9717480704,82546974720.0000,0.926163
2014-06-16,sh.000001,2070.6990,2087.3220,2069.4410,2085.9830,2070.7150,9593977088,79953076224.0000,0.737321
2014-06-17,sh.000001,2080.4820,2080.4820,2064.6660,2066.6980,2085.9830,8780048128,70923264000.0000,-0.924500
2014-06-18,sh.000001,2064.3830,2066.9130,2051.7460,2055.5190,2066.6980,8724535040,70472933376.0000,-0.540909
2014-06-19,sh.000001,2054.6200,2059.2550,2017.6530,2023.7350,2055.5190,9291427328,74628947968.0000,-1.546279
2014-06-20,sh.000001,2013.4140,2027.1480,2010.5300,2026.6740,2023.7350,6716724480,53224269312.0000,0.145225
2014-06-23,sh.000001,2026.2260,2033.3200,2022.9170,2024.3650,2026.6740,7048516352,57772730112.0000,-0.113929
2014-06-24,sh.000001,2023.6990,2034.7070,2021.7500,2033.9310,2024.3650,7121463296,61684911104.0000,0.472545
2014-06-25,sh.000001,2030.4330,2030.6160,2018.3600,2025.5020,2033.9310,6753960960,55989137920.0000,-0.414423
2014-06-26,sh.000001,2025.6620,2040.7540,2025.3140,2038.6770,2025.5020,8095577856,66534274816.0000,0.650459
2014-06-27,sh.000001,2031.9070,2043.9820,2025.0730,2036.5100,2038.6770,9759201792,76710588416.0000,-0.106294
2014-06-30,sh.000001,2038.6130,2052.3420,2038.5270,2048.3270,2036.5100,9666659840,80011169792.0000,0.580252
2014-07-01,sh.000001,2051.2250,2052.6350,2041.9370,2050.3810,2048.3270,9845740800,83499761664.0000,0.100287
2014-07-02,sh.000001,2049.4850,2060.5950,2044.0350,2059.4180,2050.3810,10955391232,89304985600.0000,0.440741
2014-07-03,sh.000001,2051.6320,2066.6410,2048.0810,2063.2290,2059.4180,12292658176,96182468608.0000,0.185054
