date,open,high,low,close,volume,amount,outstanding_share,turnover
1991-04-03,0.35,0.35,0.35,0.35,100.0,5000.0,37100000.0,2.6954177897574123e-06
1991-04-04,0.35,0.35,0.35,0.35,300.0,15000.0,37100000.0,8.086253369272237e-06
1991-04-05,0.35,0.35,0.35,0.35,200.0,10000.0,37100000.0,5.390835579514825e-06
1991-04-08,0.35,0.35,0.35,0.35,200.0,10000.0,37100000.0,5.390835579514825e-06
1991-04-09,0.34,0.34,0.34,0.34,400.0,19000.0,37100000.0,1.078167115902965e-05
1991-04-10,0.34,0.34,0.34,0.34,1500.0,71000.0,37100000.0,4.043126684636118e-05
1991-04-12,0.34,0.34,0.34,0.34,800.0,38000.0,37100000.0,2.15633423180593e-05
1991-04-16,0.33,0.33,0.33,0.33,200.0,9000.0,37100000.0,5.390835579514825e-06
1991-04-17,0.33,0.33,0.33,0.33,100.0,5000.0,37100000.0,2.6954177897574123e-06
1991-04-18,0.33,0.33,0.33,0.33,400.0,18000.0,37100000.0,1.078167115902965e-05
1991-04-19,0.33,0.33,0.33,0.33,200.0,9000.0,37100000.0,5.390835579514825e-06
1991-04-23,0.32,0.32,0.32,0.32,2800.0,126000.0,37100000.0,7.547169811320755e-05
1991-04-24,0.32,0.32,0.32,0.32,1600.0,72000.0,37100000.0,4.31266846361186e-05
1991-04-25,0.32,0.32,0.32,0.32,1500.0,67000.0,37100000.0,4.043126684636118e-05
1991-04-26,0.32,0.32,0.32,0.32,800.0,35000.0,37100000.0,2.15633423180593e-05
1991-04-29,0.32,0.32,0.32,0.32,400.0,17000.0,37100000.0,1.078167115902965e-05
1991-04-30,0.32,0.32,0.32,0.32,200.0,9000.0,37100000.0,5.390835579514825e-06
1991-05-02,0.31,0.31,0.31,0.31,200.0,9000.0,37100000.0,5.390835579514825e-06
1991-05-03,0.31,0.31,0.31,0.31,300.0,13000.0,37100000.0,8.086253369272237e-06
1991-05-07,0.31,0.31,0.31,0.31,200.0,8000.0,37100000.0,5.390835579514825e-06
1991-05-08,0.31,0.31,0.31,0.31,10900.0,462000.0,37100000.0,0.00029380053908355794
1991-05-09,0.3,0.3,0.3,0.3,1500.0,63000.0,37100000.0,4.043126684636118e-05
1991-05-10,0.3,0.3,0.3,0.3,2000.0,84000.0,37100000.0,5.3908355795148246e-05
1991-05-13,0.3,0.3,0.3,0.3,1900.0,79000.0,37100000.0,5.121293800539083e-05
1991-05-14,0.3,0.3,0.3,0.3,5500.0,227000.0,37100000.0,0.00014824797843665768
1991-05-15,0.3,0.3,0.3,0.3,38700.0,1591000.0,37100000.0,0.0010431266846361185
1991-05-16,0.3,0.3,0.3,0.3,49300.0,2017000.0,37100000.0,0.0013288409703504044
1991-05-17,0.29,0.29,0.29,0.29,41900.0,1706000.0,37100000.0,0.0011293800539083558
1991-05-20,0.29,0.29,0.29,0.29,5100.0,205000.0,37100000.0,0.00013746630727762803
1991-05-21,0.29,0.29,0.29,0.29,6300.0,253000.0,37100000.0,0.000169811320754717
1991-05-22,0.29,0.29,0.29,0.29,4300.0,171000.0,37100000.0,0.00011590296495956873
1991-05-23,0.29,0.29,0.29,0.29,1700.0,67000.0,37100000.0,4.582210242587601e-05
1991-05-24,0.29,0.29,0.29,0.29,300.0,12000.0,37100000.0,8.086253369272237e-06
1991-05-27,0.28,0.28,0.28,0.28,500.0,19000.0,37100000.0,1.3477088948787062e-05
1991-05-28,0.28,0.28,0.28,0.28,300.0,12000.0,37100000.0,8.086253369272237e-06
1991-05-29,0.28,0.28,0.28,0.28,3600.0,139000.0,37100000.0,9.703504043126685e-05
1991-05-30,0.28,0.28,0.28,0.28,1400.0,54000.0,37100000.0,3.7735849056603776e-05
1991-05-31,0.28,0.28,0.28,0.28,100.0,4000.0,37100000.0,2.6954177897574123e-06
1991-06-03,0.27,0.27,0.27,0.27,700.0,26000.0,37100000.0,1.8867924528301888e-05
1991-06-04,0.27,0.27,0.27,0.27,100.0,4000.0,37100000.0,2.6954177897574123e-06
1991-06-06,0.27,0.27,0.27,0.27,400.0,15000.0,37100000.0,1.078167115902965e-05
1991-06-07,0.27,0.27,0.27,0.27,100.0,4000.0,37100000.0,2.6954177897574123e-06
1991-06-10,0.27,0.27,0.27,0.27,1500.0,55000.0,37100000.0,4.043126684636118e-05
1991-06-11,0.26,0.26,0.26,0.26,1200.0,44000.0,37100000.0,3.234501347708895e-05
1991-06-12,0.26,0.26,0.26,0.26,1500.0,55000.0,37100000.0,4.043126684636118e-05
1991-06-13,0.26,0.26,0.26,0.26,3400.0,123000.0,37100000.0,9.164420485175202e-05
1991-06-14,0.26,0.26,0.26,0.26,700.0,25000.0,37100000.0,1.8867924528301888e-05
1991-06-17,0.26,0.26,0.26,0.26,500.0,18000.0,37100000.0,1.3477088948787062e-05
1991-06-18,0.26,0.26,0.26,0.26,1000.0,35000.0,37100000.0,2.6954177897574123e-05
1991-06-19,0.26,0.26,0.26,0.26,5700.0,202000.0,37100000.0,0.0001536388140161725
1991-06-20,0.25,0.25,0.25,0.25,3000.0,105000.0,37100000.0,8.086253369272237e-05
1991-06-21,0.25,0.25,0.25,0.25,200.0,7000.0,37100000.0,5.390835579514825e-06
