日期,当日成交净买额,买入成交额,卖出成交额,历史累计净买额,当日资金流入,当日余额,持股市值,领涨股,领涨股-涨跌幅,沪深300,沪深300-涨跌幅,领涨股-代码
2014-11-17,120.8233,120.8233,,0.01208233,130.0,,0.0,唐山港,9.98,2474.01,-0.19,601000.SH
2014-11-18,47.1967,49.4367,2.24,0.016802,48.45,81.55,0.0,厦门国贸,10.06,2456.37,-0.71,600755.SH
2014-11-19,24.9677,26.695100000000004,1.7274,0.019298770000000003,26.12,103.88,0.0,君正集团,6.85,2450.99,-0.22,601216.SH
2014-11-20,21.4194,23.0973,1.6779,0.021440709999999998,22.76,107.24,0.0,厦门国贸,9.37,2452.66,0.07,600755.SH
2014-11-21,21.9953,24.305500000000002,2.3102,0.023640240000000003,23.41,106.59,0.0,大众公用,10.02,2486.79,1.39,600635.SH
2014-11-24,58.5647,61.3922,2.8275,0.029496710000000002,69.56,60.44,0.0,北辰实业,10.09,2532.88,1.85,601588.SH
2014-11-25,27.500300000000003,31.3221,3.8218,0.03224674,28.53,101.47,0.0,万业企业,10.08,2567.6,1.37,600641.SH
2014-11-26,31.9261,35.1521,3.2260000000000004,0.035439349999999994,32.95,97.05,0.0,华泰证券,10.03,2604.34,1.43,601688.SH
2014-11-27,28.6866,33.3504,4.6638,0.03830801,29.9,100.1,0.0,同济科技,10.02,2630.49,1.0,600846.SH
2014-11-28,22.4622,30.1424,7.6802,0.040554230000000004,23.45,106.55,0.0,光大银行,10.14,2682.84,1.99,601818.SH
2014-12-01,13.178199999999999,37.8762,24.698,0.04187205,13.98,116.02,0.0,中国东航,10.06,2680.16,-0.1,600115.SH
2014-12-02,31.153299999999998,42.1425,10.9892,0.044987379999999993,33.11,96.89,0.0,重庆水务,10.06,2763.55,3.11,601158.SH
2014-12-03,36.849000000000004,60.4958,23.6468,0.04867228,38.61,91.39,0.0,江西铜业,10.01,2779.53,0.58,600362.SH
2014-12-04,33.5898,46.2754,12.685599999999999,0.052031259999999996,35.21,94.79,0.0,上海石化,10.05,2899.46,4.31,600688.SH
2014-12-05,24.495700000000003,59.8429,35.3472,0.05448083,25.67,104.33,0.0,建设银行,10.04,2937.65,1.32,601939.SH
2014-12-08,14.1599,48.168800000000005,34.0089,0.05589682,16.77,113.23,0.0,中国电建,10.11,3020.26,2.81,601669.SH
