日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2008-01-02,600482,18.43,19.52,19.53,18.13,21558,85397617.0,7.59,5.86,1.08,1.79
2008-01-03,600482,19.47,20.02,20.38,19.08,18502,76921502.0,6.66,2.56,0.5,1.54
2008-01-04,600482,20.03,20.3,20.53,19.56,18427,77837022.0,4.85,1.4,0.28,1.53
2008-01-07,600482,20.3,20.12,20.3,19.48,27142,112934133.0,4.04,-0.89,-0.18,2.26
2008-01-08,600482,20.13,19.79,20.4,19.78,15805,66524913.0,3.08,-1.64,-0.33,1.31
2008-01-09,600482,19.68,19.73,19.91,19.47,14947,61593989.0,2.22,-0.3,-0.06,1.24
2008-01-10,600482,19.79,20.19,20.78,19.78,27026,114652247.0,5.07,2.33,0.46,2.25
2008-01-11,600482,20.38,20.03,20.38,19.68,9887,41425179.0,3.47,-0.79,-0.16,0.82
2008-01-14,600482,20.07,20.28,20.53,19.95,13013,55387476.0,2.9,1.25,0.25,1.08
2008-01-15,600482,20.33,20.13,20.38,19.67,9467,39767649.0,3.5,-0.74,-0.15,0.79
2008-01-16,600482,19.88,19.97,20.78,19.65,21044,89462238.0,5.61,-0.79,-0.16,1.75
2008-01-17,600482,20.02,19.56,20.32,17.89,15641,64442249.0,12.17,-2.05,-0.41,1.3
2008-01-18,600482,19.51,18.75,19.72,18.08,23388,91789448.0,8.38,-4.14,-0.81,1.94
2008-01-21,600482,18.75,17.64,19.03,17.48,10156,38778276.0,8.27,-5.92,-1.11,0.84
2008-01-22,600482,17.77,16.06,17.77,15.78,19201,66991634.0,11.28,-8.96,-1.58,1.6
2008-01-23,600482,16.13,16.73,17.03,15.61,10306,35926626.0,8.84,4.17,0.67,0.86
2008-01-24,600482,17.02,17.01,17.28,16.28,9891,35165234.0,5.98,1.67,0.28,0.82
2008-01-25,600482,16.98,17.38,17.69,16.59,9495,34743503.0,6.47,2.18,0.37,0.79
2008-01-28,600482,17.08,17.48,18.33,17.03,34168,128266421.0,7.48,0.58,0.1,2.84
2008-01-29,600482,17.38,17.67,17.96,17.32,11981,44616090.0,3.66,1.09,0.19,1.0
