日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2009-10-30,300014,1.13,1.44,2.24,1.01,157364,662705761.0,-2460.0,2980.0,1.49,89.41
2009-11-02,300014,1.18,1.18,1.31,1.18,59404,232898462.0,9.03,-18.06,-0.26,33.75
2009-11-03,300014,1.13,1.11,1.24,1.01,54480,207819148.0,19.49,-5.93,-0.07,30.95
2009-11-04,300014,1.14,1.23,1.27,1.14,50126,197219749.0,11.71,10.81,0.12,28.48
2009-11-05,300014,1.19,1.24,1.35,1.14,47094,188182457.0,17.07,0.81,0.01,26.76
2009-11-06,300014,1.23,1.18,1.24,1.16,27135,106007795.0,6.45,-4.84,-0.06,15.42
2009-11-09,300014,1.18,1.12,1.18,1.09,21947,83284813.0,7.63,-5.08,-0.06,12.47
2009-11-10,300014,1.14,1.05,1.14,1.04,26858,100151965.0,8.93,-6.25,-0.07,15.26
2009-11-11,300014,1.06,1.14,1.16,1.05,25283,95016985.0,10.48,8.57,0.09,14.37
2009-11-12,300014,1.13,1.15,1.21,1.11,23543,90822838.0,8.77,0.88,0.01,13.38
2009-11-13,300014,1.16,1.3,1.38,1.15,49707,202993754.0,20.0,13.04,0.15,28.24
2009-11-16,300014,1.3,1.32,1.33,1.25,29857,122175047.0,6.15,1.54,0.02,16.96
2009-11-17,300014,1.3,1.29,1.39,1.25,23577,97030917.0,10.61,-2.27,-0.03,13.4
2009-11-18,300014,1.29,1.35,1.4,1.26,35584,148172387.0,10.85,4.65,0.06,20.22
2009-11-19,300014,1.34,1.48,1.59,1.32,53992,235911624.0,20.0,9.63,0.13,30.68
2009-11-20,300014,1.44,1.43,1.5,1.4,27934,121053764.0,6.76,-3.38,-0.05,15.87
2009-11-23,300014,1.44,1.46,1.5,1.41,23743,103277783.0,6.29,2.1,0.03,13.49
2009-11-24,300014,1.46,1.22,1.48,1.2,38706,161333999.0,19.18,-16.44,-0.24,21.99
2009-11-25,300014,1.21,1.34,1.36,1.2,25164,102576457.0,13.11,9.84,0.12,14.3
2009-11-26,300014,1.33,1.38,1.41,1.29,31905,134277928.0,8.96,2.99,0.04,18.13
2009-11-27,300014,1.35,1.38,1.48,1.3,30668,131075035.0,13.04,0.0,0.0,17.43
2009-11-30,300014,1.42,1.41,1.45,1.3,21197,89647854.0,10.87,2.17,0.03,12.04
2009-12-01,300014,1.4,1.46,1.48,1.37,27158,117660129.0,7.8,3.55,0.05,15.43
2009-12-02,300014,1.46,1.52,1.59,1.44,40842,183076065.0,10.27,4.11,0.06,23.21
2009-12-03,300014,1.49,1.67,1.67,1.48,48648,224894916.0,12.5,9.87,0.15,27.64
2009-12-04,300014,1.57,1.45,1.62,1.39,46448,204867702.0,13.77,-13.17,-0.22,26.39
2009-12-07,300014,1.42,1.49,1.51,1.39,18151,79737775.0,8.28,2.76,0.04,10.31
2009-12-08,300014,1.5,1.63,1.68,1.46,35008,159786220.0,14.77,9.4,0.14,19.89
2009-12-09,300014,1.59,1.61,1.75,1.57,41176,194668021.0,11.04,-1.23,-0.02,23.4
2009-12-10,300014,1.62,1.55,1.67,1.53,24210,110675907.0,8.7,-3.73,-0.06,13.76
2009-12-11,300014,1.55,1.45,1.58,1.39,24196,106617673.0,12.26,-6.45,-0.1,13.75
2009-12-14,300014,1.42,1.38,1.46,1.34,16806,71188059.0,8.28,-4.83,-0.07,9.55
2009-12-15,300014,1.39,1.38,1.45,1.38,11734,50304755.0,5.07,0.0,0.0,6.67
2009-12-16,300014,1.36,1.29,1.39,1.28,17443,71783984.0,7.97,-6.52,-0.09,9.91
2009-12-17,300014,1.27,1.18,1.3,1.18,15847,62722585.0,9.3,-8.53,-0.11,9.0
2009-12-18,300014,1.18,1.24,1.29,1.1,20898,81931414.0,16.1,5.08,0.06,11.87
2009-12-21,300014,1.2,1.25,1.27,1.19,10430,41738196.0,6.45,0.81,0.01,5.93
2009-12-22,300014,1.25,1.14,1.26,1.13,10460,40578483.0,10.4,-8.8,-0.11,5.94
2009-12-23,300014,1.12,1.19,1.21,1.12,11418,44547524.0,7.89,4.39,0.05,6.49
2009-12-24,300014,1.16,1.22,1.22,1.14,14487,56966868.0,6.72,2.52,0.03,8.23
2009-12-25,300014,1.21,1.14,1.21,1.13,12513,48060190.0,6.56,-6.56,-0.08,7.11
2009-12-28,300014,1.13,1.15,1.18,1.11,9120,35061518.0,6.14,0.88,0.01,5.18
2009-12-29,300014,1.17,1.17,1.18,1.13,9730,37483128.0,4.35,1.74,0.02,5.53
2009-12-30,300014,1.17,1.21,1.27,1.16,15372,60857797.0,9.4,3.42,0.04,8.73
2009-12-31,300014,1.21,1.22,1.24,1.18,8217,32397682.0,4.96,0.83,0.01,4.67
2010-01-04,300014,1.23,1.21,1.24,1.2,7277,28731815.0,3.28,-0.82,-0.01,4.13
2010-01-05,300014,1.21,1.18,1.23,1.14,9124,35372022.0,7.44,-2.48,-0.03,5.18
2010-01-06,300014,1.18,1.14,1.18,1.14,10937,41964294.0,3.39,-3.39,-0.04,6.21
2010-01-07,300014,1.13,1.1,1.15,1.08,9521,36144691.0,6.14,-3.51,-0.04,5.41
2010-01-08,300014,1.09,1.06,1.09,1.02,14102,51616290.0,6.36,-3.64,-0.04,8.01
2010-01-11,300014,1.04,1.07,1.1,1.02,9060,33392562.0,7.55,0.94,0.01,5.15
2010-01-12,300014,1.08,1.11,1.12,1.05,9246,34688436.0,6.54,3.74,0.04,5.25
2010-01-13,300014,1.08,1.09,1.12,1.06,7354,27469493.0,5.41,-1.8,-0.02,4.18
2010-01-14,300014,1.1,1.19,1.2,1.1,19300,74757519.0,9.17,9.17,0.1,10.97
2010-01-15,300014,1.18,1.16,1.2,1.14,10534,40780002.0,5.04,-2.52,-0.03,5.99
