trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
2004-04-20,65.6435,65.6435,4.2204,3.7823,3.7823,,,240000.0
2004-04-21,64.812,64.812,4.1669,3.7344,3.7344,,,236960.0
2004-04-22,61.2673,61.2673,3.939,3.5302,3.5302,,,224000.0
2004-04-23,61.9237,61.9237,3.9812,3.568,3.568,,,226400.0
2004-04-26,62.2738,62.2738,4.0038,3.5882,3.5882,,,227680.0
2004-04-27,59.5168,59.5168,3.8265,3.4293,3.4293,,,217600.0
2004-04-28,61.0485,61.0485,3.925,3.5176,3.5176,,,223200.0
2004-04-29,58.2477,58.2477,3.7449,3.3562,3.3562,,,212960.0
2004-04-30,61.0485,61.0485,3.925,3.5176,3.5176,,,223200.0
2004-05-10,60.0857,60.0857,3.8631,3.4621,3.4621,,,219680.0
2004-05-11,62.2301,62.2301,4.0009,3.5857,3.5857,,,227520.0
2004-05-12,63.8055,63.8055,4.1022,3.6764,3.6764,,,233280.0
2004-05-13,64.0681,64.0681,4.1191,3.6916,3.6916,,,234240.0
2004-05-14,62.799,62.799,4.0375,3.6184,3.6184,,,229600.0
2004-05-17,63.1928,63.1928,4.0628,3.6411,3.6411,,,231040.0
2004-05-18,63.3679,63.3679,4.0741,3.6512,3.6512,,,231680.0
2004-05-19,60.7421,60.7421,3.9053,3.4999,3.4999,,,222080.0
2004-05-20,60.1732,60.1732,3.8687,3.4672,3.4672,,,220000.0
2004-05-21,60.4796,60.4796,3.8884,3.4848,3.4848,,,221120.0
2004-05-24,59.5606,59.5606,3.8293,3.4318,3.4318,,,217760.0
2004-05-25,59.0792,59.0792,3.7984,3.4041,3.4041,,,216000.0
2004-05-26,59.7794,59.7794,3.8434,3.4445,3.4445,,,218560.0
2004-05-27,62.0988,62.0988,3.9925,3.5781,3.5781,,,227040.0
2004-05-28,61.0485,61.0485,3.925,3.5176,3.5176,,,223200.0
2004-05-31,62.1425,62.1425,3.9953,3.5806,3.5806,,,227200.0
2004-06-01,66.8689,66.8689,4.2992,3.853,3.853,,,244480.0
2004-06-02,66.9126,66.9126,4.302,3.8555,3.8555,,,244640.0
2004-06-03,65.3372,65.3372,4.2007,3.7647,3.7647,,,238880.0
2004-06-04,64.2869,64.2869,4.1332,3.7042,3.7042,,,235040.0
2004-06-07,64.5495,64.5495,4.1501,3.7193,3.7193,,,236000.0
2004-06-08,62.1425,62.1425,3.9953,3.5806,3.5806,,,227200.0
2004-06-09,60.2608,60.2608,3.8743,3.4722,3.4722,,,220320.0
2004-06-10,58.6415,58.6415,3.7702,3.3789,3.3789,,,214400.0
2004-06-11,59.9544,59.9544,3.8546,3.4545,3.4545,,,219200.0
2004-06-14,59.2542,59.2542,3.8096,3.4142,3.4142,,,216640.0
2004-06-15,60.392,60.392,3.8828,3.4798,3.4798,,,220800.0
2004-06-16,59.9107,59.9107,3.8518,3.452,3.452,,,219040.0
2004-06-17,58.8166,58.8166,3.7815,3.389,3.389,,,215040.0
2004-06-18,55.1406,55.1406,3.5451,3.1772,3.1772,,,201600.0
2004-06-21,57.5037,57.5037,3.6971,3.3133,3.3133,,,210240.0
2004-06-22,57.8538,57.8538,3.7196,3.3335,3.3335,,,211520.0
2004-06-23,56.8473,56.8473,3.6549,3.2755,3.2755,,,207840.0
2004-06-24,55.1843,55.1843,3.548,3.1797,3.1797,,,201760.0
2004-06-25,52.7336,52.7336,3.3904,3.0385,3.0385,,,192800.0
2004-06-28,49.8891,49.8891,3.2075,2.8746,2.8746,,,182400.0
2004-06-29,51.0707,51.0707,3.2835,2.9427,2.9427,,,186720.0
2004-06-30,50.9394,50.9394,3.275,2.9351,2.9351,,,186240.0
2004-07-01,52.9087,52.9087,3.4016,3.0486,3.0486,,,193440.0
2004-07-02,52.9087,52.9087,3.4016,3.0486,3.0486,,,193440.0
