trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
2007-01-12,29.2629,27.8106,4.4187,12.6972,11.8704,,,618393.6
2007-01-15,32.191,30.5934,4.8609,13.9678,13.0582,,,680272.0
2007-01-16,33.2533,31.603,5.0213,14.4287,13.4891,,,702720.0
2007-01-17,32.9762,31.3396,4.9794,14.3084,13.3766,,,696864.0
2007-01-18,34.177,32.4808,5.1608,14.8295,13.8637,,,722240.0
2007-01-19,35.8397,34.061,5.4118,15.5509,14.5382,,,757376.0
2007-01-22,38.1951,36.2995,5.7675,16.5729,15.4937,,,807152.0
2007-01-23,39.7192,37.748,5.9976,17.2342,16.1119,,,839360.0
2007-01-24,39.2574,37.309,5.9279,17.0338,15.9246,,,829600.0
2007-01-25,36.5786,34.7633,5.5234,15.8715,14.838,,,772992.0
2007-01-26,35.775,33.9995,5.4021,15.5228,14.512,,,756009.6
2007-01-29,36.5786,34.7633,5.5234,15.8715,14.838,,,772992.0
2007-01-30,36.1999,34.4033,5.4662,15.7072,14.6843,,,764988.8
2007-01-31,35.1007,33.3587,5.3002,15.2303,14.2384,,,741760.0
2007-02-01,35.8397,34.061,5.4118,15.5509,14.5382,,,757376.0
2007-02-02,35.0083,33.2709,5.2863,15.1902,14.201,,,739808.0
2007-02-05,34.6296,32.911,5.2291,15.0259,14.0474,,,731804.8
2007-02-06,34.3433,32.6388,5.1859,14.9016,13.9312,,,725753.6
2007-02-07,34.9991,33.2621,5.2849,15.1862,14.1972,,,739612.8
2007-02-08,34.4356,32.7266,5.1998,14.9417,13.9687,,,727705.6
2007-02-09,34.6573,32.9373,5.2333,15.0379,14.0586,,,732390.4
2007-02-12,35.932,34.1488,5.4258,15.591,14.5757,,,759328.0
2007-02-13,36.0244,34.2365,5.4397,15.6311,14.6131,,,761280.0
2007-02-14,36.32,34.5175,5.4844,15.7593,14.733,,,767526.4
2007-02-15,36.4863,34.6755,5.5095,15.8315,14.8005,,,771040.0
2007-02-16,37.1698,35.3251,5.6127,16.128,15.0778,,,785484.8
2007-02-26,36.7911,34.9652,5.5555,15.9637,14.9241,,,777481.6
2007-02-27,33.6043,31.9365,5.0743,14.581,13.6314,,,710137.6
2007-02-28,34.5927,34.5542,5.2235,15.0098,15.0099,,,731024.0
2007-03-01,32.7637,32.7273,4.9474,14.2162,14.2164,,,692374.4
2007-03-02,33.3457,33.3086,5.0352,14.4687,14.4689,,,704672.0
2007-03-05,32.773,32.7365,4.9488,14.2203,14.2204,,,692569.6
2007-03-06,32.7914,32.755,4.9515,14.2283,14.2284,,,692960.0
2007-03-07,33.6967,33.6592,5.0882,14.621,14.6212,,,712089.6
2007-03-08,34.1123,34.0744,5.151,14.8014,14.8015,,,720873.6
2007-03-09,33.7151,33.6777,5.091,14.6291,14.6292,,,712480.0
2007-03-12,33.789,33.7515,5.1022,14.6611,14.6612,,,714041.6
2007-03-13,33.6967,33.6592,5.0882,14.621,14.6212,,,712089.6
2007-03-14,32.9577,32.9211,4.9767,14.3004,14.3005,,,696473.6
2007-03-15,33.6412,33.6039,5.0799,14.597,14.5971,,,710918.4
2007-03-16,33.0593,33.0226,4.992,14.3445,14.3446,,,698620.8
2007-03-19,33.4103,33.3732,5.045,14.4968,14.4969,,,706038.4
2007-03-21,33.3734,33.3363,5.0394,14.4808,14.4809,,,705257.6
2007-03-22,33.5581,33.5208,5.0673,14.5609,14.561,,,709161.6
