Capital,Stocks
1247191.011235955,['sz.300750']
1347147.6730596395,['sz.300750']
1150632.5543232777,['sz.300750']
1372355.3582375445,['sz.300750']
1443143.708149484,['sz.300750']
1733391.360990446,['sz.300750']
2084993.1862737422,['sz.300750']
2006922.3958314992,['sz.300750']
2034848.0321371322,['sz.300750']
2301360.351377922,['sz.300750']
2260031.239925701,['sz.300750']
3381599.1528520873,['sz.300750']
3342503.4851126242,['sz.300750']
3040390.2148793885,['sz.300750']
2951365.5310135265,['sz.300750']
3561739.866376349,['sz.300750']
3977791.2954133493,['sz.300750']
5098340.426730268,['sz.300750']
5232931.013347349,['sz.300750']
4636240.283888842,['sz.300750']
4962206.903983674,['sz.300750']
5962762.283926566,['sz.300750']
6332661.112200609,['sz.300750']
5460232.44985237,['sz.300750']
5336918.724402509,['sz.300750']
4683959.952373634,['sz.300750']
4444930.161116419,['sz.300750']
3560559.6392808175,['sz.300750']
3994570.4040260524,['sz.300750']
5238626.8038322115,['sz.300750']
4993272.708944629,['sz.300750']
4742666.125426272,['sz.300750']
3947172.757689889,['sz.300750']
3652740.7111294614,['sz.300750']
3737780.348875003,['sz.300750']
3701660.628403637,['sz.300750']
4413969.773221125,['sz.300750']
3769419.1582936035,['sz.300750']
3797838.8319769497,['sz.300750']
3912714.83661223,['sz.300750']
3742506.460084823,['sz.300750']
3848275.564121961,['sz.300750']
3946636.2122442396,['sz.300750']
3932199.5776511016,['sz.300750']
3362160.5405489407,['sz.300750']
3097950.343455234,['sz.300750']
2775918.4395300085,['sz.300750']
2706973.836354205,['sz.300750']
2523914.2786186924,['sz.300750']
2729375.1953291735,['sz.300750']
3187944.668210031,['sz.300750']
3417884.266176389,['sz.300750']
3203416.0780997286,['sz.300750']
2916216.608719125,['sz.300750']
3032090.609802222,['sz.300750']
3021273.421680765,['sz.300750']
